原文	译文
下列价值2000钻石的魔晶矿任选其一<br /><font color='#800080'>初级魔晶*200</font><br /><font color='#FFA500'>中级魔晶*100</font><br /><font color='#FF0000'>高级魔晶*67</font>	Can only choose one from the listing Magical Crystal rewards (Worth 2000 Diamond)<br /><font color='#800080'>Primary Magical Crystal*200</font><br /><font color='#FFA500'>Medium Magical Crystal*100</font><br /><font color='#FF0000'>Advanced Magical Crystal*67</font>
下列价值6000钻石的魔晶矿任选其一<br /><font color='#800080'>初级魔晶*600</font><br /><font color='#FFA500'>中级魔晶*300</font><br /><font color='#FF0000'>高级魔晶*200</font>	Can only choose one from the listing Magical Crystal rewards (Worth 6000 Diamond)<br /><font color='#800080'>Primary Magical Crystal*600</font><br /><font color='#FFA500'>Medium Magical Crystal*300</font><br /><font color='#FF0000'>Advanced Magical Crystal*200</font>
下列价值14000钻石的魔晶矿任选其一<br /><font color='#800080'>初级魔晶*1400</font><br /><font color='#FFA500'>中级魔晶*700</font><br /><font color='#FF0000'>高级魔晶*467</font>	Can only choose one from the listing Magical Crystal rewards (Worth 14000 Diamond)<br /><font color='#800080'>Primary Magical Crystal*1400</font><br /><font color='#FFA500'>Medium Magical Crystal*700</font><br /><font color='#FF0000'>Advanced Magical Crystal*467</font>
下列价值4000钻石的魔晶矿任选其一<br /><font color='#800080'>初级魔晶*400</font><br /><font color='#FFA500'>中级魔晶*200</font><br /><font color='#FF0000'>高级魔晶*133</font>	Can only choose one from the listing Magical Crystal rewards (Worth 4000 Diamond)<br /><font color='#800080'>Primary Magical Crystal*400</font><br /><font color='#FFA500'>Medium Magical Crystal*200</font><br /><font color='#FF0000'>Advanced Magical Crystal*133</font>
下列价值10000钻石的魔晶矿任选其一<br /><font color='#800080'>初级魔晶*1000</font><br /><font color='#FFA500'>中级魔晶*500</font><br /><font color='#FF0000'>高级魔晶*333</font>	Can only choose one from the listing Magical Crystal rewards (Worth 10000 Diamond)<br /><font color='#800080'>Primary Magical Crystal*1000</font><br /><font color='#FFA500'>Medium Magical Crystal*500</font><br /><font color='#FF0000'>Advanced Magical Crystal*333</font>
下列价值17000钻石的魔晶矿任选其一<br /><font color='#800080'>初级魔晶*1700</font><br /><font color='#FFA500'>中级魔晶*850</font><br /><font color='#FF0000'>高级魔晶*567</font>	Can only choose one from the listing Magical Crystal rewards (Worth 17000 Diamond)<br /><font color='#800080'>Primary Magical Crystal*1700</font><br /><font color='#FFA500'>Medium Magical Crystal*850</font><br /><font color='#FF0000'>Advanced Magical Crystal*567</font>
下列价值26000钻石的魔晶矿任选其一<br /><font color='#800080'>初级魔晶*2600</font><br /><font color='#FFA500'>中级魔晶*1300</font><br /><font color='#FF0000'>高级魔晶*867</font>	Can only choose one from the listing Magical Crystal rewards (Worth 26000 Diamond)<br /><font color='#800080'>Primary Magical Crystal*2600</font><br /><font color='#FFA500'>Medium Magical Crystal*1300</font><br /><font color='#FF0000'>Advanced Magical Crystal*867</font>
下列价值36000钻石的魔晶矿任选其一<br /><font color='#800080'>初级魔晶*3600</font><br /><font color='#FFA500'>中级魔晶*1800</font><br /><font color='#FF0000'>高级魔晶*1200</font>	Can only choose one from the listing Magical Crystal rewards (Worth 36000 Diamond)<br /><font color='#800080'>Primary Magical Crystal*3600</font><br /><font color='#FFA500'>Medium Magical Crystal*1800</font><br /><font color='#FF0000'>Advanced Magical Crystal*1200</font>
下列价值800钻石的海楼石任选其一<br /><font color='#00EC00'>海楼石小*80</font><br /><font color='#2828FF'>海楼石中*40</font><br /><font color='#800080'>海楼石大*27</font>	Can only choose one from the listing Kairoseki rewards (Worth 800 Diamond)<br /><font color='#00EC00'>Small Kairoseki*80</font><br /><font color='#2828FF'>Large Kairoseki*40</font><br /><font color='#800080'>Super Kairoseki*27</font>
下列价值2000钻石的海楼石任选其一<br /><font color='#00EC00'>海楼石小*200</font><br /><font color='#2828FF'>海楼石中*100</font><br /><font color='#800080'>海楼石大*67</font>	Can only choose one from the listing Kairoseki rewards (Worth 2000 Diamond)<br /><font color='#00EC00'>Small Kairoseki*200</font><br /><font color='#2828FF'>Large Kairoseki*100</font><br /><font color='#800080'>Super Kairoseki*67</font>
下列价值6000钻石的海楼石任选其一<br /><font color='#00EC00'>海楼石小*600</font><br /><font color='#2828FF'>海楼石中*300</font><br /><font color='#800080'>海楼石大*200</font>	Can only choose one from the listing Kairoseki rewards (Worth 6000 Diamond)<br /><font color='#00EC00'>Small Kairoseki*600</font><br /><font color='#2828FF'>Large Kairoseki*300</font><br /><font color='#800080'>Super Kairoseki*200</font>
下列价值14000钻石的海楼石任选其一<br /><font color='#00EC00'>海楼石小*1400</font><br /><font color='#2828FF'>海楼石中*700</font><br /><font color='#800080'>海楼石大*467</font>	Can only choose one from the listing Kairoseki rewards (Worth 14000 Diamond)<br /><font color='#00EC00'>Small Kairoseki*1400</font><br /><font color='#2828FF'>Large Kairoseki*700</font><br /><font color='#800080'>Super Kairoseki*467</font>
下列价值4000钻石的海楼石任选其一<br /><font color='#00EC00'>海楼石小*400</font><br /><font color='#2828FF'>海楼石中*200</font><br /><font color='#800080'>海楼石大*133</font>	Can only choose one from the listing Kairoseki rewards (Worth 4000 Diamond)<br /><font color='#00EC00'>Small Kairoseki*400</font><br /><font color='#2828FF'>Large Kairoseki*200</font><br /><font color='#800080'>Super Kairoseki*133</font>
下列价值10000钻石的海楼石任选其一<br /><font color='#00EC00'>海楼石小*1000</font><br /><font color='#2828FF'>海楼石中*500</font><br /><font color='#800080'>海楼石大*333</font>	Can only choose one from the listing Kairoseki rewards (Worth 10000 Diamond)<br /><font color='#00EC00'>Small Kairoseki*1000</font><br /><font color='#2828FF'>Large Kairoseki*500</font><br /><font color='#800080'>Super Kairoseki*333</font>
下列价值17000钻石的海楼石任选其一<br /><font color='#00EC00'>海楼石小*1700</font><br /><font color='#2828FF'>海楼石中*850</font><br /><font color='#800080'>海楼石大*567</font>	Can only choose one from the listing Kairoseki rewards (Worth 17000 Diamond)<br /><font color='#00EC00'>Small Kairoseki*1700</font><br /><font color='#2828FF'>Large Kairoseki*850</font><br /><font color='#800080'>Super Kairoseki*567</font>
下列价值26000钻石的海楼石任选其一<br /><font color='#00EC00'>海楼石小*2600</font><br /><font color='#2828FF'>海楼石中*1300</font><br /><font color='#800080'>海楼石大*867</font>	Can only choose one from the listing Kairoseki rewards (Worth 26000 Diamond)<br /><font color='#00EC00'>Small Kairoseki*2600</font><br /><font color='#2828FF'>Large Kairoseki*1300</font><br /><font color='#800080'>Super Kairoseki*867</font>
下列价值36000钻石的海楼石任选其一<br /><font color='#00EC00'>海楼石小*3600</font><br /><font color='#2828FF'>海楼石中*1800</font><br /><font color='#800080'>海楼石大*1200</font>	Can only choose one from the listing Kairoseki rewards (Worth 36000 Diamond)<br /><font color='#00EC00'>Small Kairoseki*3600</font><br /><font color='#2828FF'>Large Kairoseki*1800</font><br /><font color='#800080'>Super Kairoseki*1200</font>
<font color='#FF0000'>冥界召唤者*1</font><br /><font color='#FF0000'>死亡之握*1</font><br /><font color='#FF0000'>恐惧凝视*1</font><br /><font color='#FF0000'>幽冥玺印*1</font><br /><font color='#FF0000'>冰冷血冠*1</font><br /><font color='#FF0000'>灵魂封印*1</font>	<font color='#FF0000'>Inferno Sickle*1</font><br /><font color='#FF0000'>Inferno Armguard*1</font><br /><font color='#FF0000'>Inferno Armor*1</font><br /><font color='#FF0000'>Inferno Ring*1</font><br /><font color='#FF0000'>Inferno Crown*1</font><br /><font color='#FF0000'>Inferno Belt*1</font>
可在[兑换商城]中兑换紫色装备	Extol can be used to exchange Purple Gears in "Exchange Shop".
可在[兑换商城]中兑换橙色套装材料	Ancient Coin can be used to exchange Orange Set materials in "Exchange Shop".
使用后获得3000经验，仅船员可用	Add 3000 EXP to the specified crew, can't use it on the main character.
使用后获得15000经验，仅船员可用	Add 15000 EXP to the specified crew, can't use it on the main character.
使用后获得50000经验，仅船员可用	Add 50000 EXP to the specified crew, can't use it on the main character.
使用后获得150000经验，仅船员可用	Add 150000 EXP to the specified crew, can't use it on the main character.
使用后获得500000经验，仅船员可用	Add 500000 EXP to the specified crew, can't use it on the main character.
使用后获得1000000经验，仅船员可用	Add 1000000 EXP to the specified crew, can't use it on the main character.
使用后获得3000000经验，仅船员可用	Add 3000000 EXP to the specified crew, can't use it on the main character.
可用于在partysbar酒馆中抽出船员、船员碎片、道具材料	Use it to draw crews, crew fragments and materials in Partys Bar.
可用于在宾客斯的美酒、敲竹杠酒吧中抽出船员、船员碎片、道具材料	Use it to draw crews, crew fragments and materials in Bink's Sake, Rip-off Bar
用于合成高级招募令	Every 10 pieces of Advanced Recruit Proof Fragments can be used to exchange for one piece of Advanced Recruit Proof.
用于精炼1~4星的装备	Use it to polish Gear of 1 to 4 stars.
瓦尔波无意间发明的具有记忆能力的特殊金属，可用以改造船只	Wapol found this kind of special memory metal accidentally, it can be used for ship retrofitting.
可将1级鱼竿升级为2级鱼竿	Fishing Pole Lv1 can be upgraded to Lv2.
可将2级鱼竿升级为3级鱼竿	Fishing Pole Lv2 can be upgraded to Lv3.
可将3级鱼竿升级为4级鱼竿	Fishing Pole Lv3 can be upgraded to Lv4.
可将4级鱼竿升级为5级鱼竿	Fishing Pole Lv4 can be upgraded to Lv5.
使用后增加20点行动力	Use it to add 20 Vitality.
有效期至：2016年3月10日24时<br />可用于在宾客斯的美酒、敲竹杠酒吧中抽出船员、船员碎片、道具材料	Effective Until: May 31, 2016 at Midnight<br>Use it to draw crew, crew fragments, or materials at Binks’ Sake or Rip-Off Bar
用于精炼5~8星的装备	Use it to polish Gear of 5 to 8 stars.
用于精炼9~12星的装备	Use it to polish Gear of 9 to 12 stars.
使用后角色在24小时内变身为其他形象	Use it to transform to a different figure for 24 hours
你可以拿着入场券参加一场大乱斗的比赛！	You can use the entrance ticket to join Super Smash one time!
用于刻印1~4级的装备	Use it to mark Gear of Lv1 to Lv4.
用于刻印5~7级的装备	Use it to mark Gear of Lv5 to Lv7.
用于刻印8~10级的装备	Use it to mark Gear of Lv8 to Lv10.
海底自然孕育而成的一种晶石，可用来重铸装备	A kind of special crystal contained in deep sea bottom, can be used to refresh Gears.
用以在重铸装备时锁定属性	Use it to lock Gear attributes during Refine process.
用来解除古代兵器冥王的封印	Unlock the seal of Ancient Weapons-Pluton
用来激活古代兵器冥王次级形态	Activate Advance Level of Ancient Weapons-Pluton
用来激活古代兵器冥王终极形态	Activate Supreme Level of Ancient Weapons-Pluton
用来解除古代兵器海王的封印	Unlock Ancient Weapons- Poseidon
用来激活古代兵器海王次级形态	Activate Primary Level of Ancient Weapons- Poseidon
用来激活古代兵器海王终极形态	Activate Supreme Level of Ancient Weapons-Poseidon
从宝树亚当上切割下来的一截木材，拥有异常强大的坚韧性。	A piece of the trunk cut from Treasure Tree Adam, it is extremely solid.
生长在深海一万米的阳树夏娃的一小段根茎。	A small piece of rhizome growing on Sunlight Tree Eve which grows under deep sea water.
随着恶魔果实一起飘落在海上的树叶，至今无人知晓有何用途。	Falling down on sea surface with Devil Fruits, no one has ever known what it’s for.
用海楼石制造的零件，对付能力者效果显著。	Made using Kairoseki, it can deal high damage to Devil Fruit Users.
传说是上古时期的创造者所使用过锤子。	It is said that the Creators in ancient times used it once.
被封印的东西即使是创造者也无法进行改造。	Even the Creators cannot open things once they are sealed. 
用于合成入场券	Every 10 pieces of Entrance Ticket Fragments can be used to exchange for one piece of Entrance Ticket.
由生命卡分解而成的粉末，可用于兑换生命卡碎片。	Torn particles can be used to exchange for Vivre Cards fragments.
用于东海海贼团篇章关联重置	Use to reset East Blue Pirates page
用于草帽海贼团篇章关联重置	Use to reset Straw Hat Pirates page
用于巴洛克工作室篇章关联重置	Use to reset Baroque Works page
用于CP9篇章关联重置	Use to reset Cipher Pol 9 page
用于超新星篇章关联重置	Use to reset Eleven Supernovas page
用于海军本部篇章关联重置	Use to reset Marine Headquarters page
使用后可以更改名字	Use it to change you character name. 
使用后随机获得一个1级宝石	Open it to obtain a random Gem of Lv1.
使用后随机获得一个2级宝石	Open it to obtain a random Gem of Lv2.
使用后随机获得一个3级宝石	Open it to obtain a random Gem of Lv3.
使用后随机获得一个4级宝石	Open it to obtain a random Gem of Lv4.
使用后随机获得一个5级宝石	Open it to obtain a random Gem of Lv5.
使用后随机获得一个6级宝石	Open it to obtain a random Gem of Lv6.
使用后随机获得一个7级宝石	Open it to obtain a random Gem of Lv7.
使用后随机获得一个8级宝石	Open it to obtain a random Gem of Lv8.
使用后随机获得一个9级宝石	Open it to obtain a random Gem of Lv9.
使用后随机获得一个10级宝石	Open it to obtain a random Gem of Lv10.
使用后随机获得一个11级宝石	Open it to obtain a random Gem of Lv11.
使用后随机获得一个12级宝石	Open it to obtain a random Gem of Lv12.
使用后随机获得一个13级宝石	Open it to obtain a random Gem of Lv13.
使用后随机获得一个14级宝石	Open it to obtain a random Gem of Lv14.
使用后随机获得一个15级宝石	Open it to obtain a random Gem of Lv15.
使用后随机获得一个16级宝石	Open it to obtain a random Gem of Lv16.
使用后随机获得一个17级宝石	Open it to obtain a random Gem of Lv17.
使用后随机获得一个18级宝石	Open it to obtain a random Gem of Lv18.
使用后随机获得一个19级宝石	Open it to obtain a random Gem of Lv19.
使用后随机获得一个20级宝石	Open it to obtain a random Gem of Lv20.
使用后获得海贼佩刀*1、1万贝利*2	Open it to obtain: <br /> <font color='#2828FF'>Pirate Sabre *1</font><br /> <font color='#00EC00'>10K Beli *2</font>
使用后获得防风护目镜*1、旅行者护手*1、红宝石束带*1、1万贝利*3	Open it to obtain: <br /> <font color='#2828FF'>Wind Goggles *1</font><br /> <font color='#2828FF'>Traveler Armguard *1</font><br /> <font color='#2828FF'>Ruby Band *1</font><br /> <font color='#00EC00'>10K Beli *3</font>
使用后获得海贼佩刀*1、旅行者护手*1、正义大衣*1、苍白印戒*1、防风护目镜*1、红宝石束带*1	Open it to obtain: <br /> <font color='#2828FF'>Pirate Sabre *1</font><br /> <font color='#2828FF'>Traveler Armguard *1</font><br /> <font color='#2828FF'>Justice Coat *1</font><br /> <font color='#2828FF'>Pale Signet Ring *1</font><br /> <font color='#2828FF'>Wind Goggles *1</font><br /> <font color='#2828FF'>Ruby Band *1</font>
使用后获得超合金战甲*1、招募令*2、1万贝利*5	Open it to obtain: <br /> <font color='#800080'>Superalloy Armor *1</font><br /> <font color='#2828FF'>Recruit Proof *2</font><br /> <font color='#00EC00'>10K Beli *5</font>
使用后获得妖刀·鬼彻*1、战神头盔*1、招募令*2、中级经验书*5、5万贝利*2	Open it to obtain: <br /> <font color='#800080'>Cursed Sword Kitetsu *1</font><br /> <font color='#800080'>Mars Helmet *1</font><br /> <font color='#2828FF'>Recruit Proof *2</font><br /> <font color='#2828FF'>Medium EXP Book *5</font><br /> <font color='#2828FF'>50K Beli *2</font>
使用后获得勇士之戒*1、高级经验书*5、10万贝利*1	Open it to obtain: <br /> <font color='#800080'>Bravery Ring*1</font><br /> <font color='#800080'>Advanced EXP Book *5</font><br /> <font color='#800080'>10K Beli *1</font>
使用后获得巨人护手*1、天龙人束带*1、高级招募令*1、10万贝利*2	Open it to obtain: <br /> <font color='#800080'>Armguard of Giants *1</font><br /> <font color='#800080'>World Noble Band *1</font><br /> <font color='#800080'>Advanced Recruit Proof *1</font><br /> <font color='#800080'>100K Beli *2</font>
